date,realized_gain_and_loss
2013-01-25,4680.000000000109
2013-02-19,16320.000000000027
2013-02-28,9480.00000000011
2013-03-06,5460.000000000082
2013-03-08,-1319.9999999998909298440
2013-03-12,-12059.999999999809
2013-03-20,-24419.99999999989
2013-03-22,-2759.9999999999454
2013-03-28,-34859.99999999981
2013-04-19,-15539.999999999782
2013-04-23,-25139.99999999992
2013-04-25,-9659.999999999809
2013-05-02,-239.99999999991815
2013-05-06,-6899.999999999864
2013-05-08,-5459.999999999945
2013-05-14,-10979.999999999973
2013-05-31,33480.00000000011
2013-06-04,-10439.999999999918
2013-07-04,114720.00000000016
2013-07-08,-13559.999999999809
2013-07-19,8220.000000000164
2013-08-01,-22979.999999999836
2013-08-05,-7859.999999999945
2013-08-16,2100.0
2013-08-20,-6359.999999999945
2013-08-26,-7919.999999999891
2013-08-28,4560.000000000082
2013-08-30,-3900.0
2013-09-18,30780.00000000011
2013-09-24,-6239.999999999918
2013-10-08,-1679.9999999998363
2013-10-11,-2819.999999999891
2013-10-16,-12839.999999999918
2013-10-18,1080.0000000001091
2013-10-22,6000.000000000136
2013-11-15,22200.00000000014
2013-11-19,1.3642420526593924e-10
2013-12-11,-2879.9999999998363
2013-12-31,20160.00000000008
2014-01-03,-8939.999999999918
2014-01-22,-4259.999999999809
2014-01-30,-13619.99999999989
2014-02-10,-13859.999999999945
2014-02-12,-2099.9999999998636
2014-02-21,-2279.9999999999727
2014-03-17,20520.00000000003
2014-03-19,-2759.999999999809
2014-04-17,44100.00000000014
2014-05-12,13980.00000000011
2014-05-15,-5879.999999999836
2014-05-19,-9359.999999999945
2014-05-23,-13259.999999999809
2014-05-27,1680.0000000001091
2014-06-04,-14700.0
2014-06-10,-2519.999999999891
2014-06-12,120.00000000002728
2014-06-19,-12599.999999999864
2014-06-23,-3000.0
2014-06-30,-6719.999999999891
2014-07-09,-7319.999999999891
2014-07-14,-8879.999999999973
2014-07-16,-239.99999999991815
2014-08-07,53460.00000000008
2014-08-14,-1019.9999999998909
2014-08-21,-7079.999999999836
2014-08-25,-7379.999999999836
2014-09-02,-15659.999999999945
2014-09-16,-5339.999999999918
2014-09-19,-11939.999999999918
2014-09-24,-23879.99999999997
2014-10-13,-179.9999999998363
2014-10-15,4800.000000000136
2014-10-29,-3419.999999999891
